situacion,zona,propuesta_id,titulo_propuesta,enlace,apoyos,categoria,aparece_en_mesa,orden_detectado_en_mesa,aparece_descartada_en_mesa,decision_mesa,aparece_en_final_126,fiabilidad_lectura_mesa,extracto_acta,razon_exclusion,informe_inviabilidad_url
Descartada por mesa y fuera de la final,Zona Centro,7960,Naturalizacion C/Ciudad de La Habana,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7960,10,Medio Ambiente - Limpieza,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7960: no se corresponde a la zona.,Inadmitida por la mesa argumentado en que es una propuesta que no se corresponde a la zona.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7960
Descartada por mesa y fuera de la final,Zona Centro,8523,paneles  para colocar carteles informativos por los ciudadanos en la ciudad,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8523,8,,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8523: ya existen paneles equivalentes en centros cívicos.,"Inadmitida por la mesa inicialmente consideró excluirla, argumentando que eso ya se encuentra en los Centros Cívicos, trasladando la información a los técnicos para su comprobación.
El informe técnico solicitado por la mesa de zona, señala que es admisible, ya que la propuesta se ha formulado en otros procesos de presupuestos participativos para otras zonas de la ciudad, habiéndose declarado viable, y habiéndose ejecutado en el marco de estos en la zona donde fue propuesta, por lo que esta propuesta, de haberse encontrado entre las primeras 17 priorizadas por la mesa de zona, no debe ser excluida, con carácter previo a la emisión del informe sobre la viabilidad técnica y jurídica, funcional y económica, si bien se observa que se encuentra en la priorización bastante distante de las primeras.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8523
Descartada por mesa y fuera de la final,Zona Centro,8283,Propuesta: Ubicación de contenedores de reciclaje,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8283,6,Medio Ambiente - Limpieza | Urbanismo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8283: complicaría la movilidad de los camiones de residuos.,"Inadmitida por la mesa argumentado en que la propuesta complicaría la movilidad de los camiones que recogen los residuos en la calle que se propone.
Además, la información municipal, que solicitó la mesa de zona, indica que el Servicio de Limpieza aplica unos criterios objetivos para la instalación de contenedores de residuos en la vía pública, entre los que se tienen en cuenta necesidades de cada zona, la urbanización de las distintas calles, la normativa en materia de tráfico, etc., por lo que no procede hacer una propuesta de ubicación fija, dado que las circunstancias en las calles de la ciudad son variables en el tiempo, y deben ser esos criterios objetivos los que se apliquen en cada zona en función de las circunstancias puntuales de cada momento.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8283
Descartada por mesa y fuera de la final,Zona Centro,8453,Camaras tráfico zonas peatonales,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8453,6,Transportes y movilidad | Urbanismo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8453: podría atentar contra protección de datos.,"Inadmitida por la mesa argumentando que puede atentar contra la Ley Orgánica de Protección de Datos.
Además, La información municipal, que solicitó la mesa de zona, indica que Las cámaras de control del tráfico se instalan en el viario que canaliza tráfico y su fin es gestionarlo. Las de seguridad tienen otros cometidos y requieren de otro tipo de autorización.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8453
Descartada por mesa y fuera de la final,Zona Centro,8267,Rueda peligrosa,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8267,5,parque | Rueda | peligrosa | arreglar,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8267: el elemento ya no se encuentra allí.,"Inadmitida por la mesa argumentado en que dicho elemento ya no se encuentra allí.
Además, la información municipal, que solicitó la mesa de zona, indica que  está de acuerdo con el criterio de la mesa.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8267
Descartada por mesa y fuera de la final,Zona Centro,8273,Parque peligroso,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8273,3,parque | peligroso,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8273: el elemento ya no se encuentra allí.,"Inadmitida por la mesa argumentado en que dicho elemento ya no se encuentra allí.
 Además, la información municipal, que solicitó la mesa de zona, indica que  está de acuerdo con el criterio de la mesa.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8273
Descartada por mesa y en la final,Zona Centro,8468,Aparcamiento para motos en Paseo de Isabel la católica.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8468,17,Transportes y movilidad,NO,,SI,Descartada / inadmitida por la mesa,SI,alta (revisión visual acta completa),ID 8468: ya hay aparcamiento de motos en ese paseo.,ya hay aparcamiento de motos en ese paseo,
Mesa y final,Zona Centro,8026,"Arreglo paseo de las Aceñas, paseo Moreras",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8026,46,Medio Ambiente - Limpieza | Urbanismo | Cultura,SI,13,NO,Seleccionada / ratificada por la mesa,SI,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Centro,8321,ALUMBRADO CALLE TAHONAS,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8321,40,Urbanismo,SI,8,NO,Seleccionada / ratificada por la mesa,SI,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Centro,8352,Circuito ejercicio biosaludable al aire libre para adultos latera Campo Grande,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8352,33,Deporte | convivencia intergeneracional | Salud,SI,10,NO,Seleccionada / ratificada por la mesa,SI,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Final pero no detectada en mesa,Zona Centro,8576,Señalización paso peatones Alonso Pesquera,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8576,33,Transportes y movilidad | Urbanismo,NO,,NO,No detectada con claridad en acta,SI,no aplica,,,
Final pero no detectada en mesa,Zona Centro,8159,Plaza el salvador,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8159,31,Parques infantiles | Deportes | Cultura,NO,,NO,No detectada con claridad en acta,SI,no aplica,,,
Final pero no detectada en mesa,Zona Centro,8491,Accesibilidad en los pasos de cebra para personas con discapacidad,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8491,23,Transportes y movilidad | Urbanismo,NO,,NO,No detectada con claridad en acta,SI,no aplica,,,
Final pero no detectada en mesa,Zona Centro,8102,Seguridad peatonal,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8102,21,Transportes y movilidad | Seguridad y emergencias | Urbanismo,NO,,NO,No detectada con claridad en acta,SI,no aplica,,,
Final pero no detectada en mesa,Zona Centro,7935,Construyendo Ciudadanía,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7935,4,Educación,NO,,NO,No detectada con claridad en acta,SI,no aplica,,,
Mesa pero no final,Zona Esgueva 1,7875,Arreglo acera calle soto por detrás del colegio Entre Rios y hacer carril bici,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7875,69,Transportes y movilidad | Medio Ambiente - Limpieza | Urbanismo,SI,8,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa pero no final,Zona Esgueva 1,8366,Conexion carribici Paseo del cauce con calle Rabida por calle Reguero,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8366,69,Salud y consumo - Animales | Transportes y movilidad | Medio Ambiente - Limpieza | Urbanismo,SI,10,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa pero no final,Zona Esgueva 1,8451,"Parque infantil más limpio, seguro y mejor cuidado",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8451,52,Urbanismo,SI,34,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Esta propuesta ha sido agrupada con la propuesta  8542, y  en consecuencia se analiza conjuntamente con esta. Siendo su estado final el que resulte de la propuesta 8542.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8451
Mesa pero no final,Zona Esgueva 1,7730,7730-PUERTAS DEL CENTRO CIVICO,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7730,40,Urbanismo,SI,15,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa pero no final,Zona Esgueva 1,8478,Parque Avenida Palencia .,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8478,37,Urbanismo,SI,32,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Esta propuesta ha sido agrupada con la propuesta 8542, y  en consecuencia se analiza conjuntamente con esta. Siendo su estado final el que resulte de la propuesta 8542.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8478
Mesa pero no final,Zona Esgueva 1,8565,Renovación acceras Paseo Prado de la Magdalena,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8565,37,,SI,11,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Prima el mantenimiento de los árboles, para lo que se han realizado actuaciones como los alcorques elevados y ampliación de parterres. Salvo criterio contrario del Servicio de Jardines, se debe mantener como está.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8565
Mesa pero no final,Zona Esgueva 1,7771,7771-Mantenimiento en la calle Madre de Dios,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7771,34,Urbanismo,SI,20,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Esta propuesta ha sido agrupada con la propuesta 7959, y  en consecuencia se analiza conjuntamente con esta. Siendo su estado final el que resulte de la propuesta 7959.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7771
Mesa pero no final,Zona Esgueva 1,8524,acondicionar el parque de la avenida Palencia,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8524,31,Urbanismo,SI,30,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Esta propuesta ha sido agrupada con la propuesta  8542, y  en consecuencia se analiza conjuntamente con esta. Siendo su estado final el que resulte de la propuesta 8542.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8524
Mesa pero no final,Zona Esgueva 1,8475,Arreglo calle Amor de dios,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8475,20,Urbanismo,SI,27,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Esta propuesta ha sido agrupada con la propuesta  7959, y  en consecuencia se analiza conjuntamente con esta. Siendo su estado final el que resulte de la propuesta 7959.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8475
Mesa pero no final,Zona Esgueva 1,8529,Arreglo de la acera derecha Prado de la Magdalena,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8529,13,Urbanismo,SI,39,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Esta propuesta ha sido agrupada con la propuesta  8423, y  en consecuencia se analiza conjuntamente con esta. Siendo su estado final el que resulte de la propuesta 8423.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8529
Mesa pero no final,Zona Esgueva 1,7773,Instalación de Bancos en la calle Manuel Linares Rivas y en la C/Madre de Dios,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7773,10,Urbanismo,SI,19,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,Existe una reurbanización prevista con la que se incorporarán nuevos bancos,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7773
Mesa y final,Zona Esgueva 1,7557,Mejora de Carril Bici Orilla del esgueva,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7557,74,Transportes y movilidad | Seguridad y emergencias,SI,9,NO,Seleccionada / ratificada por la mesa,SI,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 1,7864,Renovación del tramo de carril bici en Tirso de Molina,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7864,64,Transportes y movilidad | Urbanismo,SI,17,NO,Seleccionada / ratificada por la mesa,SI,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 1,7993,7993-Puertas de entrada de apertura a automática en el Centro Cívico Rondilla,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7993,52,Participación ciudadana - Asociaciones,SI,18,NO,Reserva de la mesa,SI,alta (revisión visual acta completa),"Acta Zona Esgueva 1, pág. 9: figura como reserva de la mesa.","Acta Zona Esgueva 1, pág. 9: figura como reserva de la mesa",
Mesa y final,Zona Esgueva 1,7997,7997-BAÑO PARA PERSONAS DE MOVILIDAD REDUCIIADA EN PLANTA BAJA DEL CC RONDILLA,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7997,49,,SI,14,NO,Seleccionada / ratificada por la mesa,SI,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 1,8423,8423-Arreglo de la acera derecha Prado de la Magdalena,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8423,28,Participación ciudadana - Asociaciones | Medio Ambiente - Limpieza,SI,7,NO,Seleccionada / ratificada por la mesa,SI,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 1,8542,parque infantil avenida Palencia (agrupada con 8424),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8542,20,Urbanismo,SI,3,NO,Seleccionada / ratificada por la mesa,SI,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 1,7776,Ampliación parque infantil c/ Amor de dios,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7776,13,Urbanismo | Educación | Cultura,SI,12,NO,Seleccionada / ratificada por la mesa,SI,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 1,8476,Arreglo de la acera de la calle Doctor Ochoa,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8476,12,Urbanismo,SI,5,NO,Seleccionada / ratificada por la mesa,SI,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 1,8362,Rehabilitación de la antigua biblioteca de verano del parque Ribera de Castilla,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8362,43,Urbanismo,SI,11,NO,Seleccionada / ratificada por la mesa,SI,alta (revisión visual acta completa),Acta Zona Esgueva 1 pág. 8-9: figura en la tabla final de propuestas seleccionadas por la mesa.,Acta Zona Esgueva 1 pág. 8-9: figura en la tabla final de propuestas seleccionadas por la mesa,
Mesa pero no final,Zona Esgueva 1,8348,"SEÑALIZAR, IDENTIFICAR Y  PINTAR, CARRIL BICI COMPARTIDO .",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8348,29,Transportes y movilidad | Urbanismo,SI,12,NO,Seleccionada / ratificada por la mesa,NO,alta (revisión visual acta completa),Acta Zona Esgueva 1 pág. 9-10: figura en la tabla final de propuestas seleccionadas por la mesa y se comenta después en observaciones.,Actualmente se encuentra señalizado verticalmente con un espacio de coexistencia que se considera suficiente por las características de la vía y la ausencia de conflictos reportados.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8348
Final pero no detectada en mesa,Zona Esgueva 1,7999,APARATOS BIOSALUDABLES EN LA CALLE PATIO ENTRE C/ MIRABLE Y C/ CALDERON DE LA BA,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7999,38,,NO,,NO,No detectada con claridad en acta,SI,no aplica,,,
Final pero no detectada en mesa,Zona Esgueva 1,8198,patio de la convivencia bancos y viosaludables.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8198,37,Urbanismo,NO,,NO,No detectada con claridad en acta,SI,no aplica,,,
Mesa y final,Zona Esgueva 1,7744,"ARREGLO DE LA CALZADA EN PLAZA ALBERTO FERNANDEZ.Poner plantas verticales, toldo",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7744,36,Urbanismo,SI,14,NO,Seleccionada / ratificada por la mesa,SI,alta (revisión visual acta completa),Acta Zona Esgueva 1 pág. 9: figura en la tabla final de propuestas seleccionadas por la mesa.,Acta Zona Esgueva 1 pág. 9: figura en la tabla final de propuestas seleccionadas por la mesa,
Final pero no detectada en mesa,Zona Esgueva 1,7716,Reforma integral plaza alberto fernandez,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7716,30,,NO,,NO,No detectada con claridad en acta,SI,no aplica,,,
Mesa pero no final,Zona Esgueva 2,7822,MEJORA ACCESIBILIDAD INSTALACIONES DEPORTIVAS VA-140,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7822,295,Deportes | Participación ciudadana - Asociaciones | Transportes y movilidad | Seguridad y emergencias | Turismo | Cultura,SI,1,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"No somos titulares de la vía. Habría que trasladarlo a la Junta de Castilla y León. 
El presupuesto sería más de un millón.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7822
Mesa pero no final,Zona Esgueva 2,7791,Carril bici Instalaciones Deportivas Carretera Renedo,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7791,175,Empleo | Deportes | Transportes y movilidad | Seguridad y emergencias | Turismo | Cultura,SI,3,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"No somos titulares de la vía. Habría que trasladarlo a la Junta de Castilla y León. 
El presupuesto excedería del millón de euros.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7791
Mesa pero no final,Zona Esgueva 2,8261,Mejora integral de la iluminación y de la visual del Túnel de Andrómeda,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8261,143,Transportes y movilidad | Urbanismo,SI,5,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Según informa el Jefe de Alumbrado Público, la iluminación es de reciente instalación y conforme a normativa, por lo que no se considera necesaria la intervención.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8261
Mesa pero no final,Zona Esgueva 2,7921,Crear acera en c. cta. del tomilo apead valladolid.universidad y calle universo,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7921,124,Transportes y movilidad | Seguridad y emergencias | Urbanismo,SI,12,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Supera el millón de euros.
Habría que acometer todas las redes de infraestructuras: saneamiento, etc.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7921
Mesa pero no final,Zona Esgueva 2,8238,Mejora de accesos y movilidad segura a las instalaciones deportivas de la VA-140,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8238,73,,SI,10,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"El Ayuntamiento no es titular de la vía. Habría que trasladarlo a la Junta de Castilla y León. 
El presupuesto sería más de un millón.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8238
Mesa pero no final,Zona Esgueva 2,7986,7986-Suelo en centro cívico Pilarica,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7986,20,Participación ciudadana - Asociaciones,SI,13,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 2,8287,Mejora de las Instalaciones Complejo Deportivo Ciudad de Valladolid,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8287,169,Deportes | Participación ciudadana - Asociaciones,SI,4,NO,Seleccionada / ratificada por la mesa,SI,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 2,8359,Cubierta Polivalente en los Santos Pilarica,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8359,156,Deportes | Participación ciudadana - Asociaciones | Cultura,SI,2,NO,Seleccionada / ratificada por la mesa,SI,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 2,8126,Proyecto de integración entre la V20/ Avenida Santander-VA113 y Cementerio,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8126,147,Participación ciudadana - Asociaciones | Transportes y movilidad | Medio Ambiente - Limpieza | Urbanismo | Turismo | Cultura,SI,7,NO,Seleccionada / ratificada por la mesa,SI,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 2,8527,Renovacion y ampliacion de parques por Zona Santos Pilarica,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8527,136,Parques y jardines,SI,11,NO,Seleccionada / ratificada por la mesa,SI,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 2,7920,Viveros: paso de peatones parada autobús,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7920,115,Transportes y movilidad | Urbanismo,SI,6,NO,Seleccionada / ratificada por la mesa,SI,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 2,8314,PISTA POLIDEPORTIVA futbol sala vallada en Pilarica Los Santos,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8314,110,Deportes,SI,9,NO,Seleccionada / ratificada por la mesa,SI,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 2,8302,Instalación de marquesina accesible en la calle Andrómeda,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8302,87,Transportes y movilidad | Seguridad y emergencias | Urbanismo,SI,8,NO,Seleccionada / ratificada por la mesa,SI,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 2,8332,"Acondicionamiento integral del entorno deportivo (Pumptrack, calistenia y parkou",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8332,96,Deportes | Medio Ambiente - Limpieza | Urbanismo,SI,17,NO,Seleccionada / ratificada por la mesa,SI,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa y final,Zona Esgueva 2,7619,Pasos de peatones elevados calle Astrofísico Carlos Sánchez Magro,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7619,70,Urbanismo,SI,3,NO,Seleccionada / ratificada por la mesa,SI,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Final pero no detectada en mesa,Zona Esgueva 2,7625,7625-Ampliar acera calle Pilarica,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7625,56,Urbanismo,NO,,NO,No detectada con claridad en acta,SI,no aplica,,,
Mesa y final,Zona Esgueva 2,8433,Asfaltado Calle Vía,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8433,43,calle vía | asfaltado,SI,13,NO,Seleccionada / ratificada por la mesa,SI,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,,
Mesa pero no final,Zona Esgueva 2,8097,Peatonalización Paseo del Cauce entre C/ Nochevieja y Av. Valle del Esgueva,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8097,38,Transportes y movilidad | Urbanismo,SI,15,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Se informa desfavorablemente por el Centro de Movilidad, dadas las necesidades de conexión  de los itinerarios para los vehículos que utilizan el paso inferior de la calle Andrómeda y el viario del entorno.
Excede del millón de euros.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8097
Mesa pero no final,Zona Esgueva 2,8071,Arreglar el paseo del Río Esgueva y limpiar el río.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8071,18,,SI,16,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"INADMITIDA
El informe municipal indica que  esta actuación se va a comenzar en breve",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8071
Mesa pero no final,Zona Este 1,8157,Carril bici por la antigua vía de Ariza,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8157,291,Transportes y movilidad | Medio Ambiente - Limpieza,SI,6,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Inadmitida. El informe municipal indica que procede inadmitirla en la fase previa a la emisión del informe de viabilidad, ya que la vía de Ariza no es propiedad del Ayuntamiento de Valladolid, es del Ministerio de Transporte, y habría que solicitar la cesión de esta vía; señalan igualmente que no tiene sentido ejecutar 1km de trazado que llegaría a un punto sin continuidad, y que se está trabajando con el Ayuntamiento de Laguna de Duero para realizar el proyecto conjuntamente.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8157
Mesa pero no final,Zona Este 1,8023,Mejora de instalaciones deportivas y parque infantil en Pinar de Jalón.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8023,209,Deportes | Urbanismo,SI,2,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Inadmitida. El informe municipal indica que procede inadmitirla en la fase previa a la emisión del informe de viabilidad, ya que se va a instalar una nueva zona infantil en la Plaza Everest. El resto de parcela disponible en la calle peña vieja no es municipal. La procesionaria de los pinos es durante un corto espacio de tiempo, y el parque existente se puede usar perfectamente todo el año.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8023
Mesa pero no final,Zona Este 1,8386,CUBIERTA VEGETAL PLAZA EVEREST,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8386,152,,SI,11,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Inadmitida. El informe municipal indica que procede inadmitirla en la fase previa a la emisión del informe de viabilidad, ya que se va a ejecutar este año junto a otras intervenciones en esa plaza.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8386
Mesa pero no final,Zona Este 1,8307,Espacio de Referencia Scout,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8307,127,Participación ciudadana - Asociaciones | Medio Ambiente - Limpieza | Urbanismo | Educación,SI,14,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Inadmitida. El informe municipal indica que procede inadmitirla en la fase previa a la emisión del informe de viabilidad, ya que la propuesta supera el 1.050.000 € asignado para la zona.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8307
