situacion,zona,propuesta_id,titulo_propuesta,enlace,apoyos,categoria,aparece_en_mesa,orden_detectado_en_mesa,aparece_descartada_en_mesa,decision_mesa,aparece_en_final_126,fiabilidad_lectura_mesa,extracto_acta,razon_exclusion,informe_inviabilidad_url
Descartada por mesa y fuera de la final,Zona Centro,8489,Carril Bici desde Plaza Madrid y Mercado Campillo hacia Plaza Colón,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8489,81,Transportes y movilidad | Urbanismo,SI,2,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8489: figura en la tabla priorizada de la mesa pero después se propone su exclusión del listado final.,"El número de plazas que se eliminaría no justifica la intervención. La calle Gamazo dispone de ciclo carril, conectando con las vías principales que se plantea, generando mejores alternativas y facilitando la lectura de conexiones por parte de los usuarios.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8489
Descartada por mesa y fuera de la final,Zona Centro,8153,CARRIL BICI DESDE PLAZA MADRID Y MERCADO CAMPILLO HACIA PLAZA COLÓN.y dos más,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8153,81,,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8153: coste superior al presupuesto asignado a la zona.,Inadmitida por la mesa argumentando que la valoración de la mesa de que el coste de la citada propuesta es superior al presupuesto asignado a la zona.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8153
Descartada por mesa y fuera de la final,Zona Centro,8194,peatonalización C/Duque de la Victoria,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8194,78,Transportes y movilidad,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8194: peatonalización de Duque de la Victoria; la mesa propone excluirla del listado final.,Excede el millón de euros,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8194
Descartada por mesa y fuera de la final,Zona Centro,7893,Parkings de Bicis por todo Valladolid,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7893,73,Deportes | Transportes y movilidad | Medio Ambiente - Limpieza,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7893: se considera un proyecto de ciudad y no de zona.,"Inadmitida por la mesa argumentando que no es un proyecto de zona sino de ciudad al no concretar un lugar de actuación. 
La información municipal, que solicitó la mesa de zona, indica coincide con el criterio de la mesa.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7893
Descartada por mesa y fuera de la final,Zona Centro,7834,Peatonalizaciones para mejorar la seguridad vial: entorno escolar la Enseñanza,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7834,71,Movilidad peatonal | Espacios seguros de peatones | Seguridad Vial | Transportes y movilidad | Urbanismo | Educación,SI,5,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7834: no favorece al común de la ciudadanía; se excluye del listado final.,"Inadmitida por la mesa argumentando que no es una propuesta que favorezca al común de la ciudadanía sino a los alumnos y familiares de dicho centro escolar.

Además, la información municipal, que solicitó la mesa de zona,   indica que está de acuerdo con el criterio de la Mesa. Requeriría un estudio de tráfico previo, y la solución podría exceder de 1,05 M€.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7834
Descartada por mesa y fuera de la final,Zona Centro,7815,CENTRO CIVICO AMPLIACIÓN E INSTALACIONES DEPORTIVAS,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7815,65,Participación ciudadana,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7815: coste superior al presupuesto asignado a la zona.,"Inadmitida por la mesa argumentado inicialmente que el coste de la citada propuesta es superior al presupuesto asignado a la zona, y que se espera la construcción de otro centro en la zona.

 La información municipal, que solicitó la mesa de zona, indica que indica que excede claramente de 1,05 M€.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7815
Descartada por mesa y fuera de la final,Zona Centro,8053,Plazas de aparcamiento para zona San Pablo,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8053,63,Transparencia | Igualdad | Urbanismo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8053: falta de espacio / no da un lugar de actuación concreto.,"Inadmitida por la mesa argumentado en que la propuesta no da un lugar de actuación concreto. Añadiendo posteriormente que se considera inviable por falta de espacio.
Además,  la información municipal, que solicitó la mesa de zona,  indica que ya está como alternativa los aparcamientos Ciudad de la Justicia.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8053
Descartada por mesa y fuera de la final,Zona Centro,7560,Escalinata-graderio en la plaza de Portugalete,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7560,53,Urbanismo | Educación | Turismo | Cultura,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7560: Patrimonio impide la actuación.,"Inadmitida por la mesa argumentado  en la información técnica de que Patrimonio no permite esta actuación. 
Además, la información municipal, que solicitó la mesa de zona, indica que coincide con el criterio de la mesa.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7560
Descartada por mesa y fuera de la final,Zona Centro,7592,Propuesta para construcción de rotonda,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7592,50,Sostenibilidad | Seguridad Vial | Mejora del paisaje | Urbanismo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7592: se considera mantenimiento y no inversión.,"La mesa argumenta en un primer momento la inconcreción de la propuesta en su descripción concluyendo quepresenta únicamente un título, sin incorporar descripción ni justificación motivada de la actuación. En consecuencia, no cumple los requisitos establecidos en el artículo 8.5.b del Reglamento, lo que impide su adecuada valoración técnica. 
Además la información solicitada indica que implicaría una reducción del número de plazas de aparcamiento.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7592
Descartada por mesa y fuera de la final,Zona Centro,7948,Realización parque canino,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7948,49,Salud y consumo - Animales,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7948: inviable técnicamente por el espacio / medidas incluidas.,"Inadmitida por la mesa argumentado en que los técnicos municipales consideran inviable por las medidas que incluye la propuesta y que el espacio donde se pretende realizar es inviable técnicamente.
La información municipal, que solicitó la mesa de zona, indica que coincide con el criterio de la mesa.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7948
